CODMUNRES,ANO,ABORTOS_SUS_MENOR_30,ABORTOS_SUS_30_A_39,ABORTOS_SUS_40_OU_MAIS
130260,2014,0,2,0
130260,2015,5,1,0
130260,2016,0,1,0
130260,2017,0,1,0
130260,2018,0,0,0
130260,2019,1,0,0
130260,2020,4,3,0
130270,2012,0,0,0
130270,2013,0,0,0
130270,2014,1,0,0
130270,2015,0,0,0
130270,2016,0,0,0
130270,2017,0,0,0
130270,2018,0,0,0
130270,2019,0,0,0
130270,2020,1,0,0
130340,2012,0,0,0
130340,2013,0,0,0
130340,2014,0,0,0
130340,2015,0,0,0
130340,2016,0,0,0
130340,2017,0,0,0
130340,2018,0,0,0
130340,2019,0,0,0
130340,2020,0,1,0
130350,2012,4,0,0
130350,2013,8,1,0
130350,2014,4,0,0
130350,2015,5,0,0
130350,2016,3,0,1
130350,2017,4,0,0
130350,2018,10,3,0
130350,2019,9,1,0
130350,2020,23,8,2
130370,2012,0,0,0
130370,2013,0,0,0
130370,2014,1,0,0
130370,2015,0,0,0
130370,2016,0,0,0
130370,2017,0,0,0
130370,2018,0,0,0
130370,2019,0,0,0
130370,2020,0,0,0
130380,2012,0,0,0
130380,2013,0,0,0
130380,2014,0,0,0
130380,2015,0,0,0
130380,2016,0,0,0
130380,2017,0,0,0
130380,2018,0,0,0
130380,2019,1,0,0
130380,2020,1,0,0
140005,2012,0,0,0
140005,2013,0,0,0
140005,2014,0,0,0
140005,2015,0,0,0
140005,2016,0,0,0
140005,2017,0,0,0
140005,2018,0,0,0
140005,2019,0,1,0
140005,2020,0,0,0
140010,2012,0,0,0
140010,2013,0,0,0
140010,2014,0,0,0
140010,2015,0,0,0
140010,2016,0,0,0
140010,2017,0,0,0
140010,2018,0,0,0
140010,2019,0,0,0
140010,2020,2,0,0
140060,2012,0,0,0
140060,2013,0,0,0
140060,2014,0,0,0
140060,2015,0,0,0
140060,2016,0,0,0
140060,2017,0,0,0
140060,2018,0,1,0
140060,2019,0,0,0
140060,2020,0,0,0
150070,2012,0,0,0
150070,2013,0,0,0
150070,2014,0,0,0
150070,2015,0,0,0
150070,2016,0,0,0
150070,2017,0,0,0
150070,2018,0,0,0
150070,2019,0,0,0
150070,2020,1,0,0
150180,2012,0,0,0
150180,2013,2,0,0
150180,2014,0,0,0
150180,2015,0,0,0
150180,2016,0,0,0
150180,2017,0,0,0
150180,2018,0,0,0
150180,2019,0,0,0
150180,2020,0,0,0
150530,2012,0,0,0
150530,2013,0,0,0
150530,2014,0,0,0
150530,2015,0,0,0
150530,2016,0,0,0
150530,2017,0,0,0
150530,2018,0,0,0
150530,2019,0,0,0
150530,2020,2,0,0
160010,2012,0,0,0
160010,2013,0,0,0
160010,2014,1,0,0
160010,2015,0,0,0
160010,2016,0,0,0
160010,2017,0,0,0
160010,2018,0,0,0
160010,2019,0,0,0
160010,2020,0,0,0
160050,2012,1,0,0
160050,2013,0,0,0
160050,2014,1,0,0
160050,2015,1,0,0
160050,2016,0,1,0
160050,2017,0,0,0
160050,2018,0,0,0
160050,2019,0,0,0
160050,2020,0,0,0
160060,2012,0,0,0
160060,2013,0,0,0
160060,2014,0,0,0
160060,2015,0,0,0
160060,2016,0,0,0
160060,2017,0,0,0
160060,2018,0,0,0
160060,2019,0,0,0
160060,2020,2,0,0
170110,2012,0,0,0
170110,2013,0,0,0
170110,2014,0,0,0
170110,2015,0,0,0
170110,2016,0,0,0
170110,2017,0,0,0
170110,2018,0,0,0
170110,2019,0,0,0
170110,2020,0,1,0
210330,2012,0,0,0
210330,2013,0,0,0
210330,2014,0,0,0
210330,2015,0,0,0
210330,2016,0,0,0
210330,2017,0,0,0
210330,2018,0,0,0
210330,2019,0,0,0
210330,2020,1,0,0
210467,2012,0,0,0
210467,2013,0,0,0
210467,2014,0,0,0
210467,2015,0,0,0
210467,2016,0,0,0
210467,2017,0,0,0
210467,2018,0,0,0
210467,2019,0,0,1
210467,2020,0,0,0
210530,2012,0,0,0
210530,2013,1,0,0
210530,2014,0,0,0
210530,2015,0,0,0
210530,2016,0,0,0
210530,2017,0,0,0
210530,2018,0,0,0
210530,2019,0,0,0
210530,2020,0,0,0
210950,2012,0,0,0
210950,2013,0,0,0
210950,2014,1,0,0
210950,2015,0,0,0
210950,2016,0,0,0
210950,2017,0,0,0
210950,2018,0,0,0
210950,2019,0,0,0
210950,2020,0,0,0
211230,2012,0,0,0
211230,2013,0,0,0
211230,2014,0,0,0
211230,2015,1,0,0
211230,2016,0,0,0
211230,2017,0,0,0
211230,2018,0,0,0
211230,2019,0,0,0
211230,2020,0,0,0
220220,2012,0,0,0
220220,2013,0,0,0
220220,2014,0,0,0
220220,2015,0,0,0
220220,2016,0,0,0
220220,2017,0,0,0
220220,2018,0,0,0
220220,2019,0,0,0
220220,2020,0,0,1
230440,2012,0,0,0
230440,2013,0,0,0
230440,2014,0,0,0
230440,2015,0,0,0
230440,2016,0,0,0
230440,2017,0,0,0
230440,2018,0,0,0
230440,2019,0,0,0
230440,2020,1,2,1
231130,2012,0,0,0
231130,2013,0,0,0
231130,2014,0,0,0
231130,2015,0,0,0
231130,2016,0,0,0
231130,2017,1,0,0
231130,2018,0,0,0
231130,2019,0,0,0
231130,2020,0,0,0
240810,2012,0,0,0
240810,2013,0,0,0
240810,2014,0,0,0
240810,2015,0,0,0
240810,2016,0,0,0
240810,2017,0,0,0
240810,2018,1,0,0
240810,2019,0,0,0
240810,2020,1,1,0
241450,2012,0,0,0
241450,2013,0,0,0
241450,2014,0,0,0
241450,2015,0,0,0
241450,2016,0,0,0
241450,2017,1,0,0
241450,2018,0,0,0
241450,2019,0,0,0
241450,2020,0,0,0
260560,2012,0,0,0
260560,2013,0,0,0
260560,2014,0,0,0
260560,2015,0,0,0
260560,2016,0,0,0
260560,2017,0,0,0
260560,2018,0,0,0
260560,2019,0,0,0
260560,2020,0,1,0
291080,2012,0,0,0
291080,2013,0,0,0
291080,2014,0,0,0
291080,2015,0,0,0
291080,2016,0,0,0
291080,2017,0,0,0
291080,2018,0,0,0
291080,2019,0,0,0
291080,2020,1,0,0
291550,2012,0,0,0
291550,2013,0,0,0
291550,2014,0,0,0
291550,2015,0,0,0
291550,2016,0,0,0
291550,2017,0,0,0
291550,2018,0,0,0
291550,2019,0,0,0
291550,2020,1,0,0
310100,2012,1,0,0
310100,2013,0,0,0
310100,2014,0,0,0
310100,2015,0,0,0
310100,2016,0,0,0
310100,2017,0,0,0
310100,2018,0,0,0
310100,2019,0,0,0
310100,2020,0,0,0
310170,2012,0,0,0
310170,2013,0,0,0
310170,2014,1,0,0
310170,2015,0,0,0
310170,2016,0,0,0
310170,2017,0,0,0
310170,2018,0,0,0
310170,2019,0,0,0
310170,2020,0,0,0
310270,2012,0,1,0
310270,2013,0,0,0
310270,2014,0,0,0
310270,2015,0,0,0
310270,2016,0,0,0
310270,2017,0,0,0
310270,2018,0,0,0
310270,2019,0,0,0
310270,2020,0,0,0
312510,2012,0,0,0
312510,2013,0,0,0
312510,2014,0,0,0
312510,2015,0,0,0
312510,2016,0,0,0
312510,2017,0,0,0
312510,2018,0,0,0
312510,2019,0,0,0
312510,2020,1,0,0
315660,2012,1,0,0
315660,2013,0,0,0
315660,2014,0,0,0
315660,2015,0,0,0
315660,2016,0,0,0
315660,2017,0,0,0
315660,2018,0,0,0
315660,2019,0,0,0
315660,2020,0,0,0
316360,2012,0,0,0
316360,2013,0,0,0
316360,2014,0,0,0
316360,2015,0,0,0
316360,2016,0,1,0
316360,2017,0,0,0
316360,2018,0,0,0
316360,2019,0,0,0
316360,2020,0,0,0
330180,2012,0,0,0
330180,2013,0,0,0
330180,2014,0,0,0
330180,2015,0,0,0
330180,2016,0,0,0
330180,2017,0,0,0
330180,2018,0,0,0
330180,2019,0,0,0
330180,2020,0,0,1
330455,2012,0,0,0
330455,2013,0,0,0
330455,2014,0,0,0
330455,2015,0,0,0
330455,2016,0,0,0
330455,2017,0,0,0
330455,2018,0,0,0
330455,2019,0,0,0
330455,2020,1,1,0
351880,2012,0,0,0
351880,2013,0,0,0
351880,2014,0,0,0
351880,2015,0,0,0
351880,2016,0,0,0
351880,2017,0,0,0
351880,2018,0,0,0
351880,2019,0,0,0
351880,2020,0,1,0
352720,2012,0,0,0
352720,2013,0,0,0
352720,2014,0,0,0
352720,2015,0,0,0
352720,2016,0,0,0
352720,2017,0,0,0
352720,2018,0,0,0
352720,2019,0,0,0
352720,2020,0,0,1
354780,2012,0,0,0
354780,2013,0,0,0
354780,2014,0,0,0
354780,2015,0,0,0
354780,2016,0,0,0
354780,2017,0,0,0
354780,2018,0,0,0
354780,2019,0,0,0
354780,2020,0,1,0
355170,2012,0,0,0
355170,2013,0,0,0
355170,2014,0,0,0
355170,2015,0,0,0
355170,2016,0,0,0
355170,2017,0,0,0
355170,2018,0,0,0
355170,2019,0,0,0
355170,2020,1,0,0
355280,2012,0,0,0
355280,2013,0,0,0
355280,2014,0,0,0
355280,2015,0,0,0
355280,2016,0,0,0
355280,2017,0,0,0
355280,2018,0,0,0
355280,2019,0,0,0
355280,2020,1,0,0
410690,2012,0,0,0
410690,2013,0,0,0
410690,2014,0,0,0
410690,2015,0,0,0
410690,2016,0,0,0
410690,2017,0,0,0
410690,2018,0,0,0
410690,2019,0,0,0
410690,2020,0,1,0
410830,2012,0,0,0
410830,2013,0,0,0
410830,2014,0,0,0
410830,2015,0,0,0
410830,2016,0,0,0
410830,2017,0,0,0
410830,2018,0,0,0
410830,2019,0,0,0
410830,2020,1,0,0
410970,2012,0,0,0
410970,2013,0,0,0
410970,2014,0,0,0
410970,2015,0,0,0
410970,2016,0,0,0
410970,2017,0,0,0
410970,2018,0,0,0
410970,2019,0,0,0
410970,2020,1,0,0
411370,2012,0,0,0
411370,2013,0,0,0
411370,2014,0,0,0
411370,2015,0,0,0
411370,2016,0,0,0
411370,2017,0,0,0
411370,2018,0,0,0
411370,2019,0,0,1
411370,2020,0,0,0
411520,2012,0,0,0
411520,2013,0,0,0
411520,2014,0,0,0
411520,2015,0,0,0
411520,2016,0,0,0
411520,2017,0,0,0
411520,2018,0,0,0
411520,2019,0,0,0
411520,2020,2,0,0
411915,2012,0,0,0
411915,2013,0,0,0
411915,2014,0,0,0
411915,2015,0,0,0
411915,2016,0,0,0
411915,2017,0,0,0
411915,2018,0,0,0
411915,2019,0,1,0
411915,2020,0,0,0
420240,2012,0,0,0
420240,2013,0,0,0
420240,2014,0,0,0
420240,2015,0,0,0
420240,2016,0,0,0
420240,2017,0,0,0
420240,2018,0,0,0
420240,2019,1,0,0
420240,2020,0,0,0
420395,2012,0,0,0
420395,2013,0,0,0
420395,2014,0,0,0
420395,2015,0,0,0
420395,2016,0,0,0
420395,2017,0,0,0
420395,2018,0,0,0
420395,2019,0,0,0
420395,2020,1,0,0
420420,2012,0,0,0
420420,2013,0,0,0
420420,2014,0,0,0
420420,2015,0,0,0
420420,2016,0,0,0
420420,2017,0,0,0
420420,2018,0,0,0
420420,2019,0,0,0
420420,2020,1,0,0
420540,2012,0,0,0
