nome_municipio,numero_de_nascidos_vivos_no_municipio,cobertura_saude_suplementar,total_mulheres,numero_internacoes_por_abortamento,taxa_de_abortos_inseguros_por_100_nascidos_vivos_2,taxa_de_abortos_inseguros_por_100_nascidos_vivos_5,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_2,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_5
Caldas,110,0.08,3787.0,4,5.890909090909091,14.72727272727273,1.7111169791391603,4.277792447847902
Camacho,28,0.06,764.0,2,11.357142857142858,28.392857142857142,4.162303664921466,10.405759162303665
Camanducaia,269,0.21,6197.0,8,5.397769516728625,13.49442379182156,2.3430692270453446,5.857673067613361
Cambuí,351,0.26,8477.0,15,8.076923076923077,20.192307692307693,3.3443435177539227,8.360858794384807
Cambuquira,142,0.11,3524.0,3,3.517605633802817,8.794014084507044,1.4174233825198639,3.5435584562996594
Campanário,29,0.03,1124.0,1,5.327586206896552,13.318965517241379,1.3745551601423487,3.4363879003558724
Campanha,174,0.07,4588.0,8,7.379310344827586,18.448275862068968,2.798605056669573,6.996512641673933
Campestre,212,0.08,5720.0,2,1.528301886792453,3.8207547169811327,0.5664335664335665,1.4160839160839163
Campina Verde,160,0.11,5232.0,9,9.365625000000001,23.414062500000004,2.8641055045871564,7.160263761467891
Campo Azul,41,0.0,993.0,3,10.975609756097562,27.439024390243905,4.531722054380665,11.32930513595166
Campo Belo,571,0.17,15133.0,51,15.675131348511384,39.18782837127846,5.9145575893742155,14.786393973435537
Campo do Meio,141,0.04,3184.0,8,8.851063829787234,22.127659574468087,3.9195979899497493,9.798994974874372
Campo Florido,128,0.37,2382.0,7,11.238281250000002,28.095703125000004,6.0390428211586915,15.097607052896727
Campos Altos,169,0.07,4396.0,10,9.497041420118343,23.742603550295858,3.651046405823476,9.12761601455869
Campos Gerais,304,0.05,8200.0,20,10.361842105263158,25.904605263157894,3.841463414634146,9.603658536585366
Canaã,63,0.04,1242.0,1,2.4761904761904763,6.190476190476192,1.2560386473429952,3.140096618357488
Canápolis,124,0.09,3327.0,10,13.185483870967744,32.96370967741936,4.9143372407574395,12.285843101893597
Cana Verde,41,0.02,1478.0,5,18.658536585365855,46.646341463414636,5.175913396481732,12.93978349120433
Candeias,150,0.1,3951.0,11,12.100000000000001,30.250000000000004,4.593773728170084,11.48443432042521
Cantagalo,39,0.02,1373.0,4,15.692307692307692,39.23076923076923,4.457392571012382,11.143481427530956
Caparaó,81,0.02,1577.0,3,5.666666666666666,14.166666666666666,2.910589727330374,7.276474318325935
Capela Nova,38,0.02,1242.0,1,4.026315789473684,10.06578947368421,1.2318840579710144,3.0797101449275366
Capelinha,571,0.09,12122.0,50,14.316987740805603,35.79246935201402,6.743936644118132,16.859841610295334
Capetinga,67,0.12,1764.0,4,10.029850746268657,25.074626865671647,3.8095238095238098,9.523809523809526
Capim Branco,98,0.16,2880.0,7,12.428571428571427,31.071428571428573,4.229166666666667,10.572916666666666
Capinópolis,158,0.13,4501.0,5,5.363924050632911,13.409810126582276,1.882914907798267,4.707287269495668
Capitão Andrade,52,0.03,1600.0,3,8.913461538461538,22.283653846153847,2.8968749999999996,7.2421875
Capitão Enéas,214,0.07,4572.0,5,3.75,9.375,1.755249343832021,4.388123359580052
Capitólio,128,0.11,2446.0,4,5.203125,13.007812500000002,2.722812755519215,6.807031888798038
Caputira,102,0.04,2494.0,6,9.176470588235293,22.941176470588236,3.753007217321571,9.38251804330393
Caraí,238,0.01,6515.0,5,3.1827731092436973,7.956932773109243,1.1627014581734458,2.9067536454336147
Caranaíba,23,0.03,868.0,2,13.434782608695652,33.58695652173913,3.559907834101382,8.899769585253457
Carandaí,290,0.16,7380.0,16,9.6,24.0,3.772357723577235,9.430894308943088
Carangola,371,0.1,9283.0,12,5.336927223719677,13.342318059299194,2.132931164494237,5.332327911235593
Caratinga,1173,0.18,27780.0,51,7.695652173913044,19.239130434782606,3.249460043196544,8.12365010799136
Carbonita,85,0.17,2702.0,4,8.258823529411764,20.647058823529406,2.5980754996299034,6.495188749074758
Careaçu,60,0.1,1907.0,2,5.500000000000001,13.750000000000002,1.7304667016255901,4.3261667540639746
Carlos Chagas,208,0.1,5188.0,,,,,
Carmésia,33,0.02,738.0,2,9.272727272727273,23.181818181818183,4.146341463414634,10.365853658536587
Carmo da Cachoeira,135,0.06,3523.0,5,5.888888888888889,14.722222222222223,2.256599489071814,5.641498722679534
Carmo da Mata,106,0.25,3210.0,2,3.5377358490566038,8.84433962264151,1.1682242990654206,2.920560747663551
Carmo de Minas,152,0.24,4446.0,5,6.11842105263158,15.296052631578947,2.0917678812415654,5.229419703103914
Carmo do Cajuru,283,0.46,6629.0,26,20.120141342756185,50.30035335689046,8.589530849298535,21.47382712324634
Carmo do Paranaíba,318,0.12,8136.0,18,9.509433962264152,23.773584905660382,3.7168141592920354,9.292035398230091
Carmo do Rio Claro,193,0.08,5771.0,14,11.751295336787566,29.378238341968917,3.9299948015941775,9.824987003985445
Carmópolis de Minas,206,0.18,5601.0,19,16.3252427184466,40.8131067961165,6.0042849491162285,15.010712372790572
Carneirinho,86,0.3,2859.0,2,4.534883720930233,11.337209302325581,1.3641133263378804,3.4102833158447012
Carrancas,47,0.07,1060.0,5,17.074468085106385,42.68617021276596,7.570754716981132,18.92688679245283
Carvalhópolis,37,0.09,961.0,3,13.256756756756758,33.141891891891895,5.104058272632675,12.760145681581687
Carvalhos,40,0.09,1147.0,2,8.175000000000002,20.437500000000004,2.850915431560593,7.127288578901483
Casa Grande,21,0.03,640.0,1,7.357142857142857,18.392857142857146,2.4140625,6.035156250000001
Cascalho Rico,30,0.01,752.0,2,10.100000000000001,25.25,4.029255319148937,10.07313829787234
Cássia,220,0.12,4792.0,14,10.690909090909093,26.727272727272727,4.908180300500835,12.270450751252087
Conceição da Barra de Minas,28,0.07,1080.0,,,,,
Cataguases,669,0.23,20927.0,26,7.170403587443946,17.926008968609867,2.2922540258995556,5.730635064748889
Catas Altas,59,0.29,1634.0,2,6.559322033898305,16.398305084745765,2.368421052631579,5.921052631578948
Catas Altas da Noruega,38,0.02,1092.0,1,4.026315789473684,10.06578947368421,1.4010989010989012,3.5027472527472527
Catuji,107,0.05,1835.0,3,4.41588785046729,11.039719626168225,2.574931880108992,6.437329700272479
Catuti,48,0.0,1344.0,5,15.625,39.0625,5.580357142857143,13.950892857142858
Caxambu,238,0.26,5732.0,8,6.352941176470589,15.88235294117647,2.637822749476623,6.594556873691555
Cedro do Abaeté,10,0.02,296.0,,,,,
Central de Minas,80,0.03,1990.0,1,1.93125,4.828125000000001,0.7763819095477387,1.940954773869347
Centralina,98,0.09,2860.0,2,3.3367346938775513,8.341836734693878,1.1433566433566436,2.8583916083916088
Chácara,37,0.07,821.0,,,,,
Chalé,93,0.02,1570.0,3,4.935483870967742,12.338709677419354,2.9235668789808917,7.308917197452229
Chapada do Norte,88,0.01,4725.0,2,3.4431818181818183,8.607954545454545,0.6412698412698413,1.603174603174603
